source,target,weight
1422083,80947,1
1444419,505328,1
505328,1444419,1
1527853,989374,1
989374,1527853,1
1598556,872995,1
47685,872995,1
872995,1598556,1
872995,47685,1
22896,24693,1
24693,22896,1
18827,9231,1
1668438,112401,1
1668438,1668439,1
1668438,1668440,1
112401,1668438,1
112401,1668439,1
112401,1668440,1
1668439,1668438,1
1668439,112401,1
1668439,1668440,1
1668440,1668438,1
1668440,112401,1
1668440,1668439,1
306209,28322,1
1678392,28322,1
28322,306209,1
28322,1678392,1
749993,1698179,1
749993,1698180,1
1698179,749993,1
1698179,1698180,1
1698180,749993,1
1698180,1698179,1
1193319,80947,1
80947,1193319,1
2326512,2326561,1
2326561,2326512,1
2336624,2336626,1
65506,65507,1
65507,65506,1
61583,238532,1
238532,61583,1
49646,294333,1
49646,20956,1
294333,49646,1
294333,20956,1
20956,49646,1
20956,294333,1
217056,97,1
97,217056,1
594297,594298,1
594298,594297,1
28132,207147,1
207147,28132,1
887185,887186,1
887186,887185,1
971903,971904,1
971904,971903,1
866146,1028009,1
71740,1030704,1
1030704,71740,1
371353,76088,1
371353,321965,1
371353,756353,1
371353,62124,1
76088,371353,1
76088,321965,1
76088,756353,1
321965,371353,1
321965,76088,1
321965,756353,1
321965,62124,1
756353,371353,1
756353,76088,1
756353,321965,1
756353,62124,1
62124,371353,1
62124,321965,1
62124,756353,1
18827,1053562,1
1053561,1053562,1
1053562,18827,1
1053562,1053561,1
1053562,1053563,1
1053563,1053562,1
1099522,11621,1
11621,1099522,1
42531,155509,1
42531,17302,1
42531,97,1
155509,42531,1
155509,17302,1
155509,97,1
17302,42531,1
17302,155509,1
17302,97,1
97,42531,1
97,155509,1
97,17302,1
56309,133845,1
133845,56309,1
28355,20956,1
28355,1103987,1
20956,28355,1
1103987,28355,1
1251473,1251474,1
1251474,1251473,1
28816,210154,1
210154,28816,1
1078246,1385215,1
1385215,1078246,1
316375,440684,1
440684,316375,1
119689,200599,1
119689,1453960,1
200599,119689,1
200599,1453960,1
1453960,119689,1
1453960,200599,1
185360,97,1
97,185360,1
249815,877777,1
1462806,877777,1
877777,249815,1
877777,1462806,1
16150,124894,1
1483019,89956,1
89956,1483019,1
72308,23463,1
23463,72308,1
1601732,1601733,1
1601732,617229,1
61218,617229,1
1601733,617229,1
617229,1601732,1
617229,61218,1
617229,1601733,1
14368,36955,1
36955,14368,1
5577,109127,1
109127,5577,1
33487,20,1
334843,2336182,1
2336182,334843,1
31105,31106,1
31106,31105,1
175837,30833,1
175837,67051,1
175837,67052,1
30833,175837,1
30833,67051,1
30833,67052,1
67051,175837,1
67051,30833,1
67051,67052,1
67052,175837,1
67052,30833,1
67052,67051,1
20827,72264,1
22913,203043,1
22913,257317,1
203043,22913,1
203043,257317,1
257317,22913,1
257317,203043,1
268996,268997,1
37946,268997,1
268997,268996,1
268997,37946,1
277006,277007,1
277007,277006,1
238167,207571,1
238167,312153,1
207571,238167,1
207571,312153,1
312153,238167,1
312153,207571,1
54954,331626,1
331626,54954,1
110343,366164,1
366163,366164,1
366164,110343,1
366164,366163,1
388943,388944,1
388944,388943,1
565316,565317,1
565317,565316,1
125706,202050,1
202050,125706,1
12517,16980,1
16980,12517,1
732257,732258,1
732258,732257,1
31536,613481,1
613481,31536,1
20,151946,1
750007,115621,1
750007,164564,1
750008,164564,1
115621,164564,1
164564,750007,1
164564,750008,1
164564,115621,1
18909,636570,1
636570,18909,1
775236,775237,1
775236,775238,1
146196,775237,1
146196,775238,1
775237,775236,1
775237,146196,1
775237,775238,1
775237,775239,1
775238,775236,1
775238,146196,1
775238,775237,1
775238,775239,1
775239,775237,1
775239,775238,1
837280,195021,1
31558,564754,1
20640,262545,1
262545,20640,1
983105,983106,1
983106,983105,1
995957,231003,1
76509,231003,1
231003,995957,1
231003,76509,1
74816,27540,1
27540,74816,1
20464,1045841,1
20464,1045842,1
20464,74669,1
1045841,20464,1
1045841,1045842,1
1045841,74669,1
1045842,20464,1
1045842,1045841,1
1045842,74669,1
74669,20464,1
74669,1045841,1
74669,1045842,1
21736,20464,1
21736,1135254,1
21736,74669,1
20464,21736,1
20464,1135254,1
20464,74669,1
1135254,21736,1
1135254,20464,1
1135254,74669,1
74669,21736,1
74669,20464,1
74669,1135254,1
1168066,1168068,1
1168067,1168068,1
1168068,1168066,1
1168068,1168067,1
1187234,1187235,1
1187235,1187234,1
18189,11036,1
11036,18189,1
84156,161622,1
161622,84156,1
2278,1342276,1
1342276,2278,1
1030621,40430,1
40430,1030621,1
169040,1438253,1
169040,1438254,1
1438253,169040,1
1438253,1438254,1
1438254,169040,1
1438254,1438253,1
16774,922874,1
922874,16774,1
273777,104593,1
273777,700985,1
104593,273777,1
104593,700985,1
700985,273777,1
700985,104593,1
14368,36955,1
36955,14368,1
1574057,585075,1
585075,1574057,1
156888,144649,1
144649,156888,1
32192,431825,1
32192,635851,1
431825,32192,1
431825,635851,1
635851,32192,1
635851,431825,1
754169,2086295,1
1028009,2086295,1
2086295,1028009,1
2086308,2086309,1
2086309,2086308,1
2086317,2086318,1
2086317,2086319,1
2086318,2086317,1
2086318,2086319,1
2086319,2086317,1
2086319,2086318,1
20465,2305465,1
20465,2305466,1
702774,2305466,1
2305465,2305466,1
2305466,20465,1
2305466,702774,1
2305466,2305465,1
380064,19021,1
19021,380064,1
25858,16671,1
22913,74884,1
74884,22913,1
1679481,1260030,1
1260030,1679481,1
31285,31286,1
31286,31285,1
42828,42829,1
42829,42828,1
40683,46312,1
46312,40683,1
76985,64942,1
64942,76985,1
201178,13712,1
13712,201178,1
203043,97,1
97,203043,1
17302,97,1
97,17302,1
31285,31286,1
31286,31285,1
398230,398231,1
15794,398231,1
398231,398230,1
398231,15794,1
514744,31558,1
246191,19494,1
19494,246191,1
25062,601742,1
59514,40430,1
59514,648497,1
59514,648498,1
40430,648498,1
648496,648498,1
648497,59514,1
648497,648498,1
648498,59514,1
648498,40430,1
648498,648496,1
648498,648497,1
6720,277810,1
277810,6720,1
74884,20,1
20,74884,1
618058,20640,1
20640,618058,1
153404,253253,1
253253,153404,1
749513,749514,1
749513,15840,1
749514,749513,1
749514,15840,1
15840,749513,1
15840,749514,1
760323,20,1
20,760323,1
551859,551860,1
551860,551859,1
56309,249414,1
97,17302,1
17302,97,1
76985,64942,1
76985,712620,1
64942,76985,1
64942,712620,1
712620,76985,1
712620,64942,1
296493,30653,1
926040,942509,1
942509,926040,1
1046523,709087,1
714614,709087,1
709087,1046523,1
709087,714614,1
61610,406766,1
406766,61610,1
54954,92413,1
92413,54954,1
1114984,822640,1
824703,822640,1
822640,1114984,1
822640,824703,1
721149,725584,1
721149,38124,1
725584,721149,1
725584,38124,1
38124,721149,1
38124,725584,1
24872,1137887,1
41750,1137887,1
1137887,24872,1
1137887,41750,1
1156284,503176,1
503176,1156284,1
640,29683,1
29683,640,1
79239,63664,1
700316,1220628,1
1220628,700316,1
1908,119739,1
154381,3143,1
154381,43142,1
3143,154381,1
3143,43142,1
43142,154381,1
43142,3143,1
1286856,1286857,1
1286856,20,1
1286856,1286858,1
1286856,1286859,1
1286857,1286856,1
1286857,20,1
1286857,1286858,1
1286857,1286859,1
20,1286856,1
20,1286857,1
20,1286859,1
1286858,1286856,1
1286858,1286857,1
1286858,1286859,1
1286859,1286856,1
1286859,1286857,1
1286859,20,1
1286859,1286858,1
112485,1327460,1
30707,1327460,1
1327460,112485,1
1327460,30707,1
20640,1332513,1
1332513,20640,1
67049,1377495,1
1377495,67049,1
1401449,143428,1
143428,1401449,1
321965,1439912,1
1439912,321965,1
3128,749887,1
1439952,749887,1
749887,3128,1
749887,1439952,1
29571,13937,1
29571,57315,1
13937,29571,1
13937,57315,1
57315,29571,1
57315,13937,1
120057,217056,1
120057,97,1
217056,120057,1
217056,97,1
97,120057,1
97,217056,1
1445071,1445072,1
1445071,1445073,1
679746,1445072,1
679746,1445073,1
1445072,1445071,1
1445072,679746,1
1445072,1445073,1
1445072,725912,1
1445073,1445071,1
1445073,679746,1
1445073,1445072,1
1445073,725912,1
725912,1445072,1
725912,1445073,1
50517,1448004,1
50517,1448005,1
1448004,50517,1
1448004,1448005,1
1448005,50517,1
1448005,1448004,1
20,1449662,1
164221,12695,1
1492513,143157,1
1492513,195805,1
1492513,127231,1
143157,1492513,1
143157,195805,1
143157,127231,1
195805,1492513,1
195805,143157,1
127231,1492513,1
127231,143157,1
402641,556898,1
556898,402641,1
601028,1525642,1
601028,20,1
1525642,601028,1
1525642,20,1
20,601028,1
20,1525642,1
28365,72773,1
28365,183802,1
72773,28365,1
72773,183802,1
183802,28365,1
183802,72773,1
705293,20,1
54954,616157,1
616157,54954,1
22913,673694,1
22913,97,1
673694,22913,1
673694,97,1
97,22913,1
97,673694,1
62167,22913,1
62167,206386,1
1570903,22913,1
1570903,206386,1
22913,62167,1
22913,1570903,1
22913,206386,1
206386,62167,1
206386,1570903,1
206386,22913,1
26170,55779,1
55779,26170,1
28816,16237,1
28816,210154,1
16237,28816,1
16237,210154,1
210154,28816,1
210154,16237,1
20640,92475,1
20640,1392753,1
20640,28036,1
92475,20640,1
92475,1392753,1
92475,28036,1
1392753,20640,1
1392753,92475,1
1392753,28036,1
28036,20640,1
28036,92475,1
28036,1392753,1
310246,310247,1
310246,1007432,1
310247,310246,1
310247,1007432,1
1007432,310246,1
1007432,310247,1
74653,2339016,1
2339016,74653,1
1655,22938,1
22938,1655,1
42531,40430,1
40430,42531,1
97028,97029,1
97029,97028,1
181574,244364,1
244364,181574,1
275107,20,1
285776,22247,1
22247,285776,1
421919,421920,1
421920,421919,1
32789,454770,1
454770,32789,1
169596,512489,1
169596,420552,1
512489,169596,1
512489,420552,1
420552,169596,1
420552,512489,1
551859,551860,1
551860,551859,1
553802,20,1
553802,553803,1
20,553802,1
20,553803,1
553803,553802,1
553803,20,1
599185,151789,1
151789,599185,1
622780,369997,1
369997,622780,1
63648,682968,1
63648,682970,1
606607,682970,1
682968,682970,1
682969,682970,1
682970,63648,1
682970,606607,1
682970,682968,1
682970,682969,1
223487,696014,1
223487,237059,1
696014,223487,1
696014,237059,1
237059,223487,1
237059,696014,1
721980,238625,1
721980,511290,1
15492,511290,1
238625,511290,1
511290,721980,1
511290,15492,1
511290,238625,1
302063,12880,1
12880,302063,1
256624,97,1
97,256624,1
59514,62300,1
30707,62300,1
62300,59514,1
62300,30707,1
62300,40430,1
40430,62300,1
560162,563596,1
563596,560162,1
18189,87483,1
87483,18189,1
822640,822642,1
822641,822642,1
822642,822640,1
822642,822641,1
168824,27737,1
27737,168824,1
321965,964080,1
964080,321965,1
539276,199120,1
199120,539276,1
18083,1153223,1
1153223,18083,1
277807,277810,1
277810,277807,1
1175027,20,1
1175027,1175028,1
20,1175027,1
1175028,1175027,1
677991,1178726,1
677991,64942,1
1178726,64942,1
64942,677991,1
64942,1178726,1
305068,2884,1
2884,305068,1
74494,1153223,1
1153223,74494,1
1153223,30359,1
30359,1153223,1
20,31222,1
31222,20,1
233690,20,1
20,233690,1
1359143,92475,1
92475,1359143,1
364280,25100,1
25100,364280,1
