source,target,weight
1265571,1265568,1
1265571,1265569,1
1265571,1265570,1
28562,1268347,1
1268347,28562,1
1240297,1289110,1
26573,1301855,1
26573,36478,1
1301855,26573,1
1301855,36478,1
36478,26573,1
36478,1301855,1
20479,20480,1
20479,15691,1
20480,20479,1
20480,15691,1
15691,20479,1
15691,20480,1
1226,1227,1
1227,1226,1
1343602,1343604,1
1343603,1343604,1
1343604,1343602,1
1343604,1343603,1
74585,518803,1
74585,28505,1
518803,74585,1
518803,28505,1
28505,74585,1
28505,518803,1
275584,1061666,1
1061666,275584,1
151535,508769,1
508769,151535,1
508769,234594,1
234594,508769,1
76448,1362467,1
76448,1362468,1
76448,499894,1
1362467,76448,1
1362467,1362468,1
1362467,499894,1
1362468,76448,1
1362468,1362467,1
499894,76448,1
499894,1362467,1
1101211,1101212,1
1101211,80625,1
1101212,1101211,1
1101212,80625,1
80625,1101211,1
80625,1101212,1
1384714,1384715,1
1384715,1384714,1
1391398,1343604,1
1343603,1343604,1
1343604,1391398,1
1343604,1343603,1
229192,72943,1
229192,1392414,1
72943,229192,1
72943,1392414,1
1392414,229192,1
1392414,72943,1
1405345,1405346,1
1405346,1405345,1
1410018,1410019,1
1410018,1410021,1
64905,1410021,1
1410019,1410021,1
1410020,1410021,1
1410021,1410018,1
1410021,64905,1
1410021,1410019,1
1410021,1410020,1
87543,109969,1
109969,87543,1
962264,20,1
962264,38545,1
20,38545,1
1436684,38545,1
38545,962264,1
38545,20,1
38545,1436684,1
1445272,18841,1
1445272,21813,1
18841,1445272,1
18841,21813,1
21813,1445272,1
21813,18841,1
1370800,381083,1
381083,1370800,1
1225082,255653,1
255653,1225082,1
1471227,1471229,1
1471228,1471229,1
1471229,1471227,1
1471229,1471228,1
650350,1472450,1
1472450,650350,1
745894,635007,1
427,635007,1
635007,745894,1
635007,427,1
78766,2332,1
2332,78766,1
320776,33588,1
320776,7591,1
33588,320776,1
33588,7591,1
7591,320776,1
7591,33588,1
127079,381107,1
127079,53446,1
381107,127079,1
381107,53446,1
53446,127079,1
53446,381107,1
11808,11809,1
11808,11810,1
11809,11808,1
11809,11810,1
11809,11811,1
11810,11808,1
11810,11809,1
11810,11811,1
11811,11809,1
11811,11810,1
54802,24183,1
24183,54802,1
84874,1477464,1
1575736,1575737,1
1575737,1575736,1
311,100501,1
100501,311,1
65490,43578,1
43578,65490,1
1636502,1000589,1
1000589,1636502,1
1642552,16495,1
87709,16495,1
16495,1642552,1
16495,87709,1
267538,40678,1
40678,267538,1
66887,36278,1
36278,66887,1
833024,833025,1
833025,833024,1
1674885,768855,1
1674886,768855,1
768855,1674885,1
768855,1674886,1
216629,1687214,1
216629,1089895,1
1687214,216629,1
1687214,1089895,1
1089895,216629,1
1089895,1687214,1
1981072,1981073,1
156517,1981073,1
1981073,1981072,1
1981073,156517,1
1981099,1981100,1
1981100,1981099,1
1981499,1981500,1
1981499,1981501,1
1981499,1047526,1
1981499,52482,1
1981500,1981499,1
1981500,1981501,1
1981500,1047526,1
1981500,52482,1
1981501,1981499,1
1981501,1981500,1
1981501,52482,1
1047526,1981499,1
1047526,1981500,1
1047526,52482,1
52482,1981499,1
52482,1981500,1
52482,1981501,1
52482,1047526,1
34349,438004,1
34349,1033355,1
438004,34349,1
438004,1033355,1
1033355,34349,1
1033355,438004,1
1976665,1985900,1
1985900,1976665,1
1986258,52250,1
52250,1986258,1
1986618,31559,1
31559,1986618,1
1987843,1987844,1
1987844,1987843,1
13779,67073,1
67073,13779,1
357078,335427,1
357078,2366853,1
357078,94481,1
335427,357078,1
335427,2366853,1
335427,94481,1
2366853,357078,1
2366853,335427,1
2366853,94481,1
94481,357078,1
94481,335427,1
94481,2366853,1
20,17116,1
62769,1419566,1
1419566,62769,1
26422,49863,1
28113,68431,1
68431,28113,1
2966,59408,1
59408,2966,1
50978,205884,1
50978,205885,1
50978,205886,1
50978,33938,1
50978,476,1
205884,50978,1
205884,205885,1
205884,205886,1
205884,33938,1
205884,476,1
205885,50978,1
205885,205884,1
205885,205886,1
205885,33938,1
205885,476,1
205886,50978,1
205886,205884,1
205886,205885,1
33938,50978,1
33938,205884,1
33938,205885,1
476,50978,1
476,205884,1
476,205885,1
19499,316222,1
316222,19499,1
411170,411171,1
411171,411170,1
98131,52250,1
52250,98131,1
46219,79731,1
46219,364675,1
79731,46219,1
79731,364675,1
364675,46219,1
364675,79731,1
82620,82621,1
82620,82622,1
82621,82620,1
82621,82622,1
82622,82620,1
82622,82621,1
530447,60611,1
14706,60611,1
60611,530447,1
60611,14706,1
114299,543617,1
543617,114299,1
593468,593469,1
593468,286219,1
593469,593468,1
593469,286219,1
286219,593468,1
286219,593469,1
209384,633987,1
633987,209384,1
656372,215703,1
671641,671642,1
671642,671641,1
16870,75972,1
75972,16870,1
9228,436007,1
721652,14706,1
